Epoca 1, Erro Medio (0.09679614186421753,)+ 
Epoca 2, Erro Medio (0.038356596397174994,)+ 
Epoca 3, Erro Medio (0.03756607904219081,)+ 
Epoca 4, Erro Medio (0.03718688860368405,)+ 
Epoca 5, Erro Medio (0.03691384097322237,)+ 
Epoca 6, Erro Medio (0.03668382710697989,)+ 
Epoca 7, Erro Medio (0.036474808867921975,)+ 
Epoca 8, Erro Medio (0.036276457904090786,)+ 
Epoca 9, Erro Medio (0.0360835430895612,)+ 
Epoca 10, Erro Medio (0.03589393063426984,)+ 
Epoca 11, Erro Medio (0.035706907215619,)+ 
Epoca 12, Erro Medio (0.03552187250788708,)+ 
Epoca 13, Erro Medio (0.03533749519333786,)+ 
Epoca 14, Erro Medio (0.03515165399750447,)+ 
Epoca 15, Erro Medio (0.03496253626481496,)+ 
Epoca 16, Erro Medio (0.03477020829210254,)+ 
Epoca 17, Erro Medio (0.034576261541631875,)+ 
Epoca 18, Erro Medio (0.0343816097925129,)+ 
Epoca 19, Erro Medio (0.03418583600834378,)+ 
Epoca 20, Erro Medio (0.03398750183603899,)+ 
Epoca 21, Erro Medio (0.033784281038971534,)+ 
Epoca 22, Erro Medio (0.03357315428573145,)+ 
Epoca 23, Erro Medio (0.03335076876735345,)+ 
Epoca 24, Erro Medio (0.033113991320410305,)+ 
Epoca 25, Erro Medio (0.03286111912315755,)+ 
Epoca 26, Erro Medio (0.03259386516163648,)+ 
Epoca 27, Erro Medio (0.032316979612541895,)+ 
Epoca 28, Erro Medio (0.03203529666549581,)+ 
Epoca 29, Erro Medio (0.03175184079710706,)+ 
Epoca 30, Erro Medio (0.0314665049365974,)+ 
Epoca 31, Erro Medio (0.031177637466673676,)+ 
Epoca 32, Erro Medio (0.030884405805802956,)+ 
Epoca 33, Erro Medio (0.030587388320914264,)+ 
Epoca 34, Erro Medio (0.03028799053240668,)+ 
Epoca 35, Erro Medio (0.029987964128035314,)+ 
Epoca 36, Erro Medio (0.029689148814300806,)+ 
Epoca 37, Erro Medio (0.029392399668921234,)+ 
Epoca 38, Erro Medio (0.029096384649390503,)+ 
Epoca 39, Erro Medio (0.02879837267458028,)+ 
Epoca 40, Erro Medio (0.028495799654548522,)+ 
